sha,version,date,subject,changeCount,packageChangeCount,pathEndpointCount,workspaces,semanticIds,directSemanticIds,dependencySemanticIds,evidenceReports,evidenceLabels,coverage,paths,changes
7ece19b0e866c40d0f19ba6ed2d1884e01faf2c3,v0.80.3,2026-06-18T12:16:55+02:00,chore: package structure,8,6,8,orchestrator;package.json;tsconfig.json,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,package.json;packages/orchestrator/CHANGELOG.md;packages/orchestrator/README.md;packages/orchestrator/package.json;packages/orchestrator/src/cli.ts;packages/orchestrator/src/index.ts;packages/orchestrator/tsconfig.build.json;tsconfig.json,M:package.json;A:packages/orchestrator/CHANGELOG.md;A:packages/orchestrator/README.md;A:packages/orchestrator/package.json;A:packages/orchestrator/src/cli.ts;A:packages/orchestrator/src/index.ts;A:packages/orchestrator/tsconfig.build.json;M:tsconfig.json
d799c722000739de661e44940342115e8ec84979,v0.80.3,2026-06-18T12:56:33+02:00,feat: ipc socket,4,4,4,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/config.ts;packages/orchestrator/src/index.ts;packages/orchestrator/src/ipc/client.ts;packages/orchestrator/src/ipc/protocol.ts,A:packages/orchestrator/src/config.ts;M:packages/orchestrator/src/index.ts;A:packages/orchestrator/src/ipc/client.ts;A:packages/orchestrator/src/ipc/protocol.ts
60fb6dc6a6324d00df2a4a1b42856910705af315,v0.80.3,2026-06-18T12:59:15+02:00,chore: add auth path getter too,1,1,1,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/config.ts,M:packages/orchestrator/src/config.ts
92e28e9c513f31fbfce29479b1f4a151dd69561e,v0.80.3,2026-06-18T13:06:34+02:00,feat: ipc server,3,3,3,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/index.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/ipc/server.ts,M:packages/orchestrator/src/index.ts;M:packages/orchestrator/src/ipc/protocol.ts;A:packages/orchestrator/src/ipc/server.ts
5f60fc01d748594318318d1f160bd4a93595c3b3,v0.80.3,2026-06-18T13:09:48+02:00,feat: machine and instance storage,4,4,4,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/index.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/storage.ts;packages/orchestrator/src/types.ts,M:packages/orchestrator/src/index.ts;M:packages/orchestrator/src/ipc/protocol.ts;A:packages/orchestrator/src/storage.ts;A:packages/orchestrator/src/types.ts
83e8c3d39ba6576e3c902f8777ec3d95b05a74bd,v0.80.3,2026-06-18T13:14:01+02:00,feat: handler,3,3,3,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/handler.ts;packages/orchestrator/src/index.ts;packages/orchestrator/src/ipc/server.ts,A:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/index.ts;M:packages/orchestrator/src/ipc/server.ts
946b9c7dee4ffc89d125616d6c000afa9a0c27f5,v0.80.3,2026-06-18T13:16:10+02:00,feat: serve and command,4,4,4,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/cli.ts;packages/orchestrator/src/handler.ts;packages/orchestrator/src/index.ts;packages/orchestrator/src/serve.ts,M:packages/orchestrator/src/cli.ts;M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/index.ts;A:packages/orchestrator/src/serve.ts
2a2dc0e99f1aabacdd346fb792b3a6fb222fa6b9,v0.80.3,2026-06-18T13:19:03+02:00,feat: commands,1,1,1,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/cli.ts,M:packages/orchestrator/src/cli.ts
0cbdc283a3d90b55314c0168cadc89c285a19444,v0.80.3,2026-06-18T13:19:42+02:00,fix: lifecycle,1,1,1,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/serve.ts,M:packages/orchestrator/src/serve.ts
0d02df760f40f1c323b1c4bd5421faa9ef9e511a,v0.80.3,2026-06-18T13:25:50+02:00,feat: supervisor,4,4,4,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/package.json;packages/orchestrator/src/handler.ts;packages/orchestrator/src/index.ts;packages/orchestrator/src/supervisor.ts,M:packages/orchestrator/package.json;M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/index.ts;A:packages/orchestrator/src/supervisor.ts
8bc92fc90bdd56c76e093e083fb95792c14a1805,v0.80.3,2026-06-18T13:32:17+02:00,feat: rpc bridge,6,6,6,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/cli.ts;packages/orchestrator/src/handler.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/ipc/server.ts;packages/orchestrator/src/rpc-bridge.ts;packages/orchestrator/src/supervisor.ts,M:packages/orchestrator/src/cli.ts;M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/ipc/protocol.ts;M:packages/orchestrator/src/ipc/server.ts;A:packages/orchestrator/src/rpc-bridge.ts;M:packages/orchestrator/src/supervisor.ts
52b7f7749e4a69a18673226d3775a91078173384,v0.80.3,2026-06-18T14:07:39+02:00,feat: support rpc commands,1,1,1,orchestrator,TR-006,TR-006,,tui-repo,PORT,EVIDENCE_LINKED,packages/orchestrator/src/rpc-bridge.ts,M:packages/orchestrator/src/rpc-bridge.ts
9bfafc8c029f31eb3d37aedf6b7198fa3f39b4eb,v0.80.3,2026-06-18T15:03:43+02:00,feat: radius connection,6,6,6,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/handler.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/radius.ts;packages/orchestrator/src/serve.ts;packages/orchestrator/src/supervisor.ts;packages/orchestrator/src/types.ts,M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/ipc/protocol.ts;A:packages/orchestrator/src/radius.ts;M:packages/orchestrator/src/serve.ts;M:packages/orchestrator/src/supervisor.ts;M:packages/orchestrator/src/types.ts
a6d88ddc3a546691d94d943d87c51edae175bebf,v0.80.3,2026-06-18T15:16:03+02:00,fix: use raius pi id for persistence,7,7,7,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/handler.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/radius.ts;packages/orchestrator/src/serve.ts;packages/orchestrator/src/storage.ts;packages/orchestrator/src/supervisor.ts;packages/orchestrator/src/types.ts,M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/ipc/protocol.ts;M:packages/orchestrator/src/radius.ts;M:packages/orchestrator/src/serve.ts;M:packages/orchestrator/src/storage.ts;M:packages/orchestrator/src/supervisor.ts;M:packages/orchestrator/src/types.ts
f1d9f762981aec27dd52ad7501ae2f7b1fd45d50,v0.80.3,2026-06-18T15:31:59+02:00,"fix: heartbeat 3 404s re-register, if still fails disconnect",2,2,2,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/radius.ts;packages/orchestrator/src/supervisor.ts,M:packages/orchestrator/src/radius.ts;M:packages/orchestrator/src/supervisor.ts
5cb528428a47e4159d3ed3fa5bf441fa0d24749b,v0.80.3,2026-06-18T15:39:14+02:00,fix: bridge missing rpc commands,7,7,7,orchestrator,TR-006,TR-006,,tui-repo,MISSING,EVIDENCE_LINKED,packages/orchestrator/src/cli.ts;packages/orchestrator/src/handler.ts;packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/ipc/server.ts;packages/orchestrator/src/rpc-bridge.ts;packages/orchestrator/src/serve.ts;packages/orchestrator/src/supervisor.ts,M:packages/orchestrator/src/cli.ts;M:packages/orchestrator/src/handler.ts;M:packages/orchestrator/src/ipc/protocol.ts;M:packages/orchestrator/src/ipc/server.ts;M:packages/orchestrator/src/rpc-bridge.ts;M:packages/orchestrator/src/serve.ts;M:packages/orchestrator/src/supervisor.ts
4806b8f9f43bc1e89cc504dbbca92fb4c6bf6069,v0.80.3,2026-06-18T15:41:47+02:00,fix: use radius creds instead of api key,3,3,3,orchestrator,TR-006,TR-006,,tui-repo,,EVIDENCE_LINKED,packages/orchestrator/src/ipc/protocol.ts;packages/orchestrator/src/radius.ts;packages/orchestrator/src/serve.ts,M:packages/orchestrator/src/ipc/protocol.ts;M:packages/orchestrator/src/radius.ts;M:packages/orchestrator/src/serve.ts
