id,domain,title,status,sourceStatus,source,line
AG-001,agent,`Agent.prepareNextTurnWithContext`,MISSING,MISSING,agent.md,25
AG-002,agent,legacy `Agent.prepareNextTurn` abort signal,PRESENT,PRESENT,agent.md,37
AG-003,agent,session context entry transforms and custom projectors,MISSING,MISSING,agent.md,49
AG-004,agent,custom JSONL session header metadata,MISSING,MISSING,agent.md,61
AG-005,agent,root exports for storage implementations,MISSING,MISSING,agent.md,73
AG-006,agent,serialize split-turn compaction summaries,CONFLICT,CONFLICT,agent.md,85
AG-007,agent,reject tool calls from length-truncated assistant messages,MISSING,MISSING,agent.md,97
AG-008,agent,normalize null message content at ingestion,MISSING,MISSING,agent.md,109
AG-009,agent,reject non-positive and oversized shell timeouts,MISSING,MISSING,agent.md,121
AG-010,agent,random-tail short session entry IDs,MISSING,MISSING,agent.md,133
AG-011,agent,`max` thinking level,PRESENT,PRESENT,agent.md,145
AG-012,agent,message-anchored dynamic tools via `addedToolNames`,MISSING,MISSING,agent.md,157
AG-013,agent,`Usage.reasoning` propagation (cross-package dependency),MISSING,MISSING,agent.md,169
AG-014,agent,ignore stale pre-compaction usage (cross-package dependency),PRESENT,PRESENT/DEPENDENCY,agent.md,181
AG-015,agent,`Models` / `ModelRuntime` adaptation (cross-package architectural dependency),PARTIAL,PARTIAL,agent.md,193
AI-001,ai,“Added Azure OpenAI Responses support for modern Microsoft Foundry endpoint URLs”,PRESENT,PRESENT,ai.md,19
AI-002,ai,“Fixed retry classification for provider errors that explicitly tell callers to retry”,MISSING,MISSING,ai.md,21
AI-003,ai,“Added an optional reasoning field to Usage ... subset of output”,MISSING,MISSING,ai.md,23
AI-004,ai,“Fixed OpenAI Responses streams to preserve reasoning replay state when output items finish out of order”,MISSING,MISSING,ai.md,25
AI-005,ai,official 曾记录 MiniMax shared-budget clamp，最终同版本已 revert,N/A,N/A,ai.md,27
AI-006,ai,“Fixed provider HTTP errors to include response bodies instead of opaque SDK messages”,MISSING,MISSING,ai.md,29
AI-007,ai,“Fixed streamSimple() to send a context-aware max-token cap”,MISSING,MISSING,ai.md,31
AI-008,ai,“Codex Responses SSE response-header waits [use] configured HTTP timeout”,MISSING,MISSING,ai.md,33
AI-009,ai,“Fixed Z.AI preserved thinking ... send thinking.clear_thinking: false”,MISSING,MISSING,ai.md,35
AI-010,ai,Sonnet 5 metadata、Xiaomi pricing/adaptive-thinking fixes及 catalog refresh,SUPERSEDED,SUPERSEDED,ai.md,37
AI-011,ai,Codex Node/Bun UA race、zstd SSE compression、60-minute-before rotation fixes,MISSING,MISSING,ai.md,39
AI-012,ai,“wait before the first token poll” + “honor server-provided slow_down interval”,MISSING,MISSING,ai.md,41
AI-013,ai,“Fixed Amazon Bedrock prompt-cache points/pricing for Claude 5”,SUPERSEDED,SUPERSEDED,ai.md,43
AI-014,ai,“Fixed DS4 server context overflow detection for Prompt has ... tokens ...”,MISSING,MISSING,ai.md,45
AI-015,ai,retry Cloudflare 524、Bun socket drops、gRPC ResourceExhausted,MISSING,MISSING,ai.md,47
AI-016,ai,official 未单列；commit “remove redundant record guards”,N/A,N/A,ai.md,49
AI-017,ai,“normalize null message content at ingestion boundaries”,MISSING,MISSING,ai.md,51
AI-018,ai,empty tool result without image uses “(no tool output)”,MISSING,MISSING,ai.md,53
