id,domain,status,primaryWave,implementationRole,canonicalImplementationIds,implementationOwner,dependsOn,testGate,rollbackUnit,title,notes
AG-001,agent,MISSING,W7,CANONICAL,AG-001,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,`Agent.prepareNextTurnWithContext`,
AG-002,agent,PRESENT,VERIFY,VERIFY,AG-002,current implementation owner,W0,G0 regression,none; retain current behavior,legacy `Agent.prepareNextTurn` abort signal,
AG-003,agent,MISSING,W7,CANONICAL,AG-003,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,session context entry transforms and custom projectors,
AG-004,agent,MISSING,W7,CANONICAL,AG-004,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,custom JSONL session header metadata,
AG-005,agent,MISSING,W7,CANONICAL,AG-005,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,root exports for storage implementations,
AG-006,agent,CONFLICT,W7,CANONICAL,AG-006,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,serialize split-turn compaction summaries,
AG-007,agent,MISSING,W1,CANONICAL,AG-007,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,reject tool calls from length-truncated assistant messages,
AG-008,agent,MISSING,W1,CANONICAL,AG-008,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,normalize null message content at ingestion,
AG-009,agent,MISSING,W1,CANONICAL,AG-009,HarnessComponentProtocol/_magenta/env/pi/nodejs.ts + HarnessComponentProtocol/tools/bash + coding adapter,W0,G1,owner-scoped W1 commit set,reject non-positive and oversized shell timeouts,
AG-010,agent,MISSING,W1,CANONICAL,AG-010,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,random-tail short session entry IDs,
AG-011,agent,PRESENT,W2,CANONICAL,AG-011,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,`max` thinking level,
AG-012,agent,MISSING,W8,CANONICAL,AG-012,pi/ai + pi/agent + coding dynamic tools; existing HCP tool pool,"W4,W5,W6,W7",G8,dynamic-tool protocol commit set,message-anchored dynamic tools via `addedToolNames`,
AG-013,agent,MISSING,CROSSWALK,CROSSWALK,AI-003,crosswalk only; see AI-003,W2,canonical target gates,no independent code; follows canonical targets,`Usage.reasoning` propagation (cross-package dependency),
AG-014,agent,PRESENT,W2,CANONICAL,AG-014,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,ignore stale pre-compaction usage (cross-package dependency),
AG-015,agent,PARTIAL,CROSSWALK,CROSSWALK,AI-038;CC-048,"crosswalk only; see AI-038,CC-048","W5,W6",canonical target gates,no independent code; follows canonical targets,`Models` / `ModelRuntime` adaptation (cross-package architectural dependency),
AI-001,ai,PRESENT,VERIFY,VERIFY,AI-001,current implementation owner,W0,G0 regression,none; retain current behavior,“Added Azure OpenAI Responses support for modern Microsoft Foundry endpoint URLs”,
AI-002,ai,MISSING,W1,CANONICAL,AI-002,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“Fixed retry classification for provider errors that explicitly tell callers to retry”,
AI-003,ai,MISSING,W2,CANONICAL,AI-003,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,“Added an optional reasoning field to Usage ... subset of output”,
AI-004,ai,MISSING,W3,CANONICAL,AI-004,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,“Fixed OpenAI Responses streams to preserve reasoning replay state when output items finish out of order”,
AI-005,ai,N/A,EXCLUDED,EXCLUDED,AI-005,none,none,scope audit,no code may be imported,official 曾记录 MiniMax shared-budget clamp，最终同版本已 revert,
AI-006,ai,MISSING,W1,CANONICAL,AI-006,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“Fixed provider HTTP errors to include response bodies instead of opaque SDK messages”,
AI-007,ai,MISSING,W2,CANONICAL,AI-007,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,“Fixed streamSimple() to send a context-aware max-token cap”,
AI-008,ai,MISSING,W1,CANONICAL,AI-008,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“Codex Responses SSE response-header waits [use] configured HTTP timeout”,
AI-009,ai,MISSING,W3,CANONICAL,AI-009,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,“Fixed Z.AI preserved thinking ... send thinking.clear_thinking: false”,
AI-010,ai,SUPERSEDED,VERIFY,VERIFY,AI-010,current implementation owner,W0,G0 regression,none; retain current behavior,Sonnet 5 metadata、Xiaomi pricing/adaptive-thinking fixes及 catalog refresh,
AI-011,ai,MISSING,W3,CANONICAL,AI-011,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,Codex Node/Bun UA race、zstd SSE compression、60-minute-before rotation fixes,
AI-012,ai,MISSING,W3,CANONICAL,AI-012,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,“wait before the first token poll” + “honor server-provided slow_down interval”,
AI-013,ai,SUPERSEDED,VERIFY,VERIFY,AI-013,current implementation owner,W0,G0 regression,none; retain current behavior,“Fixed Amazon Bedrock prompt-cache points/pricing for Claude 5”,
AI-014,ai,MISSING,W1,CANONICAL,AI-014,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“Fixed DS4 server context overflow detection for Prompt has ... tokens ...”,
AI-015,ai,MISSING,W1,CANONICAL,AI-015,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,retry Cloudflare 524、Bun socket drops、gRPC ResourceExhausted,
AI-016,ai,N/A,EXCLUDED,EXCLUDED,AI-016,none,none,scope audit,no code may be imported,official 未单列；commit “remove redundant record guards”,
AI-017,ai,MISSING,W1,CANONICAL,AI-017,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“normalize null message content at ingestion boundaries”,
AI-018,ai,MISSING,W1,CANONICAL,AI-018,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,empty tool result without image uses “(no tool output)”,
AI-019,ai,MISSING,W1,CANONICAL,AI-019,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,Responses “avoid sending max_output_tokens below provider minimum”,
AI-020,ai,CONFLICT,W9,CANONICAL,AI-020,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,GPT-5.6 metadata、Copilot Sonnet 5、Fireworks GLM、Xiaomi catalogs、Copilot 1M context、models.dev refresh,
AI-021,ai,MISSING,W2,CANONICAL,AI-021,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,“post-compaction output-token budgeting [ignores] stale assistant usage”,
AI-022,ai,CONFLICT,W2,CANONICAL,AI-022,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,"“separate opt-in max ... adaptive Claude max; native xhigh only Opus 4.7/4.8, Sonnet 5, Fable 5”",
AI-023,ai,MISSING,W2,CANONICAL,AI-023,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,“request-wide input-token pricing tiers ... usage cost calculation”,
AI-024,ai,CONFLICT,W2,CANONICAL,AI-024,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,GPT-5.4/5.5 long-context pricing；GPT-5.6 direct 272K vs Codex 372K、删除 bare alias,
AI-025,ai,MISSING,W1,CANONICAL,AI-025,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,“preserve thinking blocks with empty thinking text but a valid signature”,
AI-026,ai,CONFLICT,W9,CANONICAL,AI-026,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,OpenRouter top-provider context；Fable 5 all catalogs xhigh/max,
AI-027,ai,PARTIAL,W5,CANONICAL,AI-027,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,Bedrock generic apiKey bearer；ambient AWS credentials preserved；compat filters ambient auth markers,
AI-028,ai,MISSING,W8,CANONICAL,AI-028,pi/ai + pi/agent + coding dynamic tools; existing HCP tool pool,"W4,W5,W6,W7",G8,dynamic-tool protocol commit set,“cache-friendly dynamic tool loading ... ToolResultMessage.addedToolNames ... native deferred loading”,
AI-029,ai,MISSING,W5,CANONICAL,AI-029,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,Cloudflare key-only stored credential falls back to ambient account/gateway IDs,
AI-030,ai,MISSING,W3,CANONICAL,AI-030,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,"“toolChoice support to OpenAI and Codex Responses, including required and named”",
AI-031,ai,MISSING,W9,CANONICAL,AI-031,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Copilot mai-code-1-flash-picker routes /responses,
AI-032,ai,CONFLICT,W3,CANONICAL,AI-032,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,official BREAKING: remove `sendSessionIdHeader`; use `compat.sessionAffinityFormat`=`openai/openai-nosession/openrouter`; OpenRouter uses `x-session-id`; OpenCode omits session-id,
AI-033,ai,MISSING,W3,CANONICAL,AI-033,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,Bedrock reports unhandled provider stop reasons,
AI-034,ai,MISSING,W3,CANONICAL,AI-034,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,Azure reasoning replay backfills encrypted_content from terminal response,
